p,propLabel,eff
http://www.wikidata.org/prop/direct/P9058,Fichier des personnes décédées ID (matchID),3
http://www.wikidata.org/prop/direct/P9995,MYmovies person ID,3
http://www.wikidata.org/prop/direct/P10234,Der Spiegel topic ID,3
http://www.wikidata.org/prop/direct/P10553,IxTheo authority ID,3
http://www.wikidata.org/prop/direct/P10780,Radio France person ID,3
http://www.wikidata.org/prop/direct/P10916,Süddeutsche Zeitung topic ID,3
http://www.wikidata.org/prop/direct/P11386,Listal ID,3
http://www.wikidata.org/prop/direct/P12582,Oxford Reference overview ID,3
http://www.wikidata.org/prop/direct/P118,league or competition,2
http://www.wikidata.org/prop/direct/P409,Libraries Australia ID,2
http://www.wikidata.org/prop/direct/P511,honorific prefix,2
http://www.wikidata.org/prop/direct/P552,handedness,2
http://www.wikidata.org/prop/direct/P898,IPA transcription,2
http://www.wikidata.org/prop/direct/P1266,AlloCiné person ID,2
http://www.wikidata.org/prop/direct/P1712,Metacritic ID,2
http://www.wikidata.org/prop/direct/P1884,hair color,2
http://www.wikidata.org/prop/direct/P2168,Swedish Film Database person ID,2
http://www.wikidata.org/prop/direct/P2387,Elonet person ID,2
http://www.wikidata.org/prop/direct/P2572,hashtag,2
http://www.wikidata.org/prop/direct/P2604,Kinopoisk person ID,2
http://www.wikidata.org/prop/direct/P2639,Filmportal ID,2
http://www.wikidata.org/prop/direct/P3204,Ciné-Ressources person ID,2
http://www.wikidata.org/prop/direct/P3388,LittleSis people ID,2
http://www.wikidata.org/prop/direct/P3553,Zhihu topic ID,2
http://www.wikidata.org/prop/direct/P3706,RITVA Person ID,2
http://www.wikidata.org/prop/direct/P4124,Who's Who in France biography ID,2
http://www.wikidata.org/prop/direct/P4416,Quebec Sports Hall of Fame ID,2
http://www.wikidata.org/prop/direct/P4527,UK Parliament thesaurus ID,2
http://www.wikidata.org/prop/direct/P4619,National Library of Brazil ID,2
http://www.wikidata.org/prop/direct/P4768,cinematografo.it name or company ID,2
http://www.wikidata.org/prop/direct/P4782,Movieplayer person ID,2
http://www.wikidata.org/prop/direct/P4854,Uppslagsverket Finland ID,2
http://www.wikidata.org/prop/direct/P5007,Behind The Voice Actors person ID,2
http://www.wikidata.org/prop/direct/P5056,patronym or matronym,2
http://www.wikidata.org/prop/direct/P5513,Enciclopèdia de l'Esport Català ID,2
http://www.wikidata.org/prop/direct/P5882,Muziekweb performer ID,2
http://www.wikidata.org/prop/direct/P6058,Larousse ID,2
http://www.wikidata.org/prop/direct/P6683,Alexander Turnbull Library ID,2
http://www.wikidata.org/prop/direct/P6777,Danskefilmstemmer.dk person ID,2
http://www.wikidata.org/prop/direct/P7349,Gazetteer for Scotland person ID,2
http://www.wikidata.org/prop/direct/P7666,Visuotinė lietuvių enciklopedija ID,2
http://www.wikidata.org/prop/direct/P7972,CVR person ID,2
http://www.wikidata.org/prop/direct/P7982,Hrvatska enciklopedija ID,2
http://www.wikidata.org/prop/direct/P8081,WBIS ID,2
http://www.wikidata.org/prop/direct/P8286,Olympedia people ID,2
http://www.wikidata.org/prop/direct/P9352,Portrait Archive ID,2
http://www.wikidata.org/prop/direct/P9404,OFDb person ID,2
http://www.wikidata.org/prop/direct/P11120,Rai Teche person ID,2
http://www.wikidata.org/prop/direct/P11345,Cinematografo.it name or company ID (new),2
http://www.wikidata.org/prop/direct/P66,ancestral home,1
http://www.wikidata.org/prop/direct/P94,coat of arms image,1
http://www.wikidata.org/prop/direct/P102,member of political party,1
http://www.wikidata.org/prop/direct/P138,named after,1
http://www.wikidata.org/prop/direct/P154,logo image,1
http://www.wikidata.org/prop/direct/P906,SELIBR ID,1
http://www.wikidata.org/prop/direct/P973,described at URL,1
http://www.wikidata.org/prop/direct/P1142,political ideology,1
http://www.wikidata.org/prop/direct/P1151,topic's main Wikimedia portal,1
http://www.wikidata.org/prop/direct/P1268,represents,1
http://www.wikidata.org/prop/direct/P1284,Munzinger person ID,1
http://www.wikidata.org/prop/direct/P1327,partner in business or sport,1
http://www.wikidata.org/prop/direct/P1340,eye color,1
http://www.wikidata.org/prop/direct/P1375,NSK ID,1
http://www.wikidata.org/prop/direct/P1399,convicted of,1
http://www.wikidata.org/prop/direct/P1409,Cycling Archives cyclist ID,1
http://www.wikidata.org/prop/direct/P1580,University of Barcelona authority ID (former scheme),1
http://www.wikidata.org/prop/direct/P1576,lifestyle,1
http://www.wikidata.org/prop/direct/P1670,Canadiana Authorities ID (former scheme),1
http://www.wikidata.org/prop/direct/P1902,Spotify artist ID,1
http://www.wikidata.org/prop/direct/P1977,Les Archives du spectacle person ID,1
http://www.wikidata.org/prop/direct/P2015,Hansard (1803–2005) ID,1
http://www.wikidata.org/prop/direct/P2019,AllMovie person ID,1
http://www.wikidata.org/prop/direct/P2180,Kansallisbiografia ID,1
http://www.wikidata.org/prop/direct/P2318,debut participant,1
http://www.wikidata.org/prop/direct/P2389,organization directed by the office or position,1
http://www.wikidata.org/prop/direct/P2435,PORT person ID,1
http://www.wikidata.org/prop/direct/P2626,Danish National Filmography person ID,1
http://www.wikidata.org/prop/direct/P2650,interested in,1
http://www.wikidata.org/prop/direct/P2722,Deezer artist ID,1
http://www.wikidata.org/prop/direct/P2847,Google+ ID (archived),1
http://www.wikidata.org/prop/direct/P2850,Apple Music artist ID (U.S. version),1
http://www.wikidata.org/prop/direct/P2868,subject has role,1
http://www.wikidata.org/prop/direct/P2984,Snapchat username,1
http://www.wikidata.org/prop/direct/P3040,SoundCloud ID,1
http://www.wikidata.org/prop/direct/P3106,Guardian topic ID,1
http://www.wikidata.org/prop/direct/P3185,VK username,1
http://www.wikidata.org/prop/direct/P3265,Myspace ID,1
http://www.wikidata.org/prop/direct/P3342,significant person,1
http://www.wikidata.org/prop/direct/P3348,National Library of Greece ID,1
http://www.wikidata.org/prop/direct/P3448,stepparent,1
http://www.wikidata.org/prop/direct/P3478,Songkick artist ID,1
http://www.wikidata.org/prop/direct/P3502,Ameblo username,1
http://www.wikidata.org/prop/direct/P3716,social classification,1
http://www.wikidata.org/prop/direct/P3789,Telegram username,1
http://www.wikidata.org/prop/direct/P3913,MobyGames person ID,1
http://www.wikidata.org/prop/direct/P3930,Rallye-info.com driver or co-driver ID,1
http://www.wikidata.org/prop/direct/P3928,MotoGP racer ID,1
http://www.wikidata.org/prop/direct/P3949,Juwra.com ID,1
http://www.wikidata.org/prop/direct/P3973,PIM authority ID,1
http://www.wikidata.org/prop/direct/P3980,Unifrance person ID,1
http://www.wikidata.org/prop/direct/P3984,subreddit,1
http://www.wikidata.org/prop/direct/P4159,WeRelate person ID,1
http://www.wikidata.org/prop/direct/P4359,gravsted.dk ID,1
http://www.wikidata.org/prop/direct/P4398,Canada's Sports Hall of Fame athlete ID,1
http://www.wikidata.org/prop/direct/P4431,Google Doodle,1
http://www.wikidata.org/prop/direct/P4438,"BFI Films, TV and people ID",1
http://www.wikidata.org/prop/direct/P4440,Biblioteca Nacional de México ID,1
http://www.wikidata.org/prop/direct/P4779,MYmovies actor ID (former scheme),1
http://www.wikidata.org/prop/direct/P4939,VERIF ID,1
http://www.wikidata.org/prop/direct/P5034,National Library of Korea ID,1
http://www.wikidata.org/prop/direct/P5298,Webb-site person ID,1
http://www.wikidata.org/prop/direct/P5340,American Film Institute person ID,1
http://www.wikidata.org/prop/direct/P5587,Libris-URI,1
http://www.wikidata.org/prop/direct/P5796,Internet Game Database person ID (archived),1
http://www.wikidata.org/prop/direct/P6200,BBC News topic ID,1
http://www.wikidata.org/prop/direct/P6213,UK Parliament ID,1
http://www.wikidata.org/prop/direct/P6235,Académie royale de Belgique member ID,1
http://www.wikidata.org/prop/direct/P6327,Goodreads character ID,1
http://www.wikidata.org/prop/direct/P6394,ELNET ID,1
http://www.wikidata.org/prop/direct/P6488,Enciclopedia delle donne ID,1
http://www.wikidata.org/prop/direct/P6544,total points in career,1
http://www.wikidata.org/prop/direct/P6573,Klexikon article ID,1
http://www.wikidata.org/prop/direct/P6723,BlackPast.org ID,1
http://www.wikidata.org/prop/direct/P6849,DR topic ID,1
http://www.wikidata.org/prop/direct/P6908,Cameo ID,1
http://www.wikidata.org/prop/direct/P7029,National Library of Russia ID,1
http://www.wikidata.org/prop/direct/P7157,The Top Tens ID,1
http://www.wikidata.org/prop/direct/P7369,National Library of Chile ID,1
http://www.wikidata.org/prop/direct/P7550,Paralympic.org sportsperson ID,1
http://www.wikidata.org/prop/direct/P8125,Fandango person ID,1
http://www.wikidata.org/prop/direct/P8816,Dzen ID,1
http://www.wikidata.org/prop/direct/P8854,Salzburgwiki ID,1
http://www.wikidata.org/prop/direct/P8852,facial hair,1
http://www.wikidata.org/prop/direct/P8980,KANTO ID,1
http://www.wikidata.org/prop/direct/P9113,Patrinum ID,1
http://www.wikidata.org/prop/direct/P9129,Data Collection of the Hungarian Peerage ID,1
http://www.wikidata.org/prop/direct/P9324,BiographySampo person ID,1
http://www.wikidata.org/prop/direct/P9510,Forbes Russia profile ID,1
http://www.wikidata.org/prop/direct/P9629,Armeniapedia ID,1
http://www.wikidata.org/prop/direct/P9775,Treccani's Lessico del XXI Secolo ID,1
http://www.wikidata.org/prop/direct/P9807,SNK ID,1
http://www.wikidata.org/prop/direct/P10266,AdoroCinema person ID,1
http://www.wikidata.org/prop/direct/P10428,parliament.uk member ID,1
http://www.wikidata.org/prop/direct/P10565,Encyclopedia of China (Third Edition) ID,1
http://www.wikidata.org/prop/direct/P10823,fastest laps,1
http://www.wikidata.org/prop/direct/P10849,Beamish peerage database person ID,1
http://www.wikidata.org/prop/direct/P11020,UCI rider ID,1
http://www.wikidata.org/prop/direct/P11158,Dimitri and Aliki Perrotis Central Library ID,1
http://www.wikidata.org/prop/direct/P11196,Baidu Tieba name,1
http://www.wikidata.org/prop/direct/P11892,Threads username,1
http://www.wikidata.org/prop/direct/P12458,Parsifal cluster ID,1
http://www.wikidata.org/prop/direct/P13019,RedBA Granada authority ID,1
http://www.wikidata.org/prop/direct/P13226,Hessian Biography person (GND) ID,1
http://www.wikidata.org/prop/direct/P13457,Ordre national du Québec ID,1
